id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef067991,https://www.airbnb.es/rooms/23690255,-0.3823144349228211,39.47535434083855,2018-04-24 14:11:08.627000,2018-09-22 21:04:09.792000,airbnb177303774,entire_home,2,3,11,2,
airbnb599232358a46554f807aef067992,https://www.airbnb.es/rooms/13773070,-0.3825871316075396,39.47539767988289,2017-08-15 17:08:44.859000,2018-06-02 23:02:34.560000,airbnb80837259,entire_home,3,6,12,3,69
airbnb599232358a46554f807aef067993,https://www.airbnb.es/rooms/17616632,-0.3825973681680273,39.47502273180301,2017-08-15 17:08:32.156000,2017-10-11 01:18:22.879000,airbnb57500509,private_room,1,3,27,1,22
airbnb599232358a46554f807aef067994,https://www.airbnb.es/rooms/23800192,-0.38265635253043495,39.47503307256042,2018-04-24 14:12:07.744000,2018-06-02 23:02:19.780000,airbnb178602186,entire_home,2,4,2,2,96
airbnb599232358a46554f807aef067995,https://www.airbnb.es/rooms/15954037,-0.3827866444686417,39.475016866232934,2017-08-15 17:08:24.392000,2018-09-22 21:05:07.258000,airbnb66950072,entire_home,2,4,114,2,
airbnb599232358a46554f807aef067996,https://www.airbnb.es/rooms/338751,-0.3830218246149793,39.47497682402556,2017-08-15 17:08:36.057000,2018-09-22 07:10:18.390000,airbnb1720515,entire_home,0,4,148,2,
airbnb599232358a46554f807aef067997,https://www.airbnb.es/rooms/22665278,-0.3831621530861156,39.475357199254766,2018-04-24 14:12:31.793000,2018-09-22 06:05:37.140000,airbnb19776958,entire_home,3,6,3,6,
airbnb599232358a46554f807aef067998,https://www.airbnb.es/rooms/24899226,-0.3833794350927041,39.47540290466928,2018-05-25 13:49:20.323000,2018-09-22 06:31:32.102000,airbnb140959561,private_room,1,2,2,2,
airbnb599232358a46554f807aef067999,https://www.airbnb.es/rooms/19905723,-0.3833877874464112,39.474991905533045,2017-08-15 17:08:32.155000,2018-09-22 06:30:28.475000,airbnb140959561,entire_home,2,4,11,3,
airbnb599232358a46554f807aef068000,https://www.airbnb.es/rooms/27352654,-0.3832061046287194,39.47463397635901,2018-08-27 05:34:11.933000,2018-09-22 07:08:26.071000,airbnb204674064,entire_home,0,4,1,1,
airbnb599232358a46554f807aef068001,https://www.airbnb.es/rooms/23755288,-0.38307946081708294,39.47457018051188,2018-04-24 14:11:08.627000,2018-09-22 07:08:50.600000,airbnb178174911,entire_home,1,3,17,3,
airbnb599232358a46554f807aef068002,https://www.airbnb.es/rooms/11885032,-0.3835479946476035,39.47462462686054,2017-08-15 17:08:44.859000,2017-10-11 01:20:55.668000,airbnb60069705,entire_home,1,4,0,2,100
airbnb599232358a46554f807aef068003,https://www.airbnb.es/rooms/18641523,-0.38371959244627857,39.47476818828218,2017-08-15 17:08:28.040000,2018-06-02 03:29:50.048000,airbnb24477020,entire_home,2,4,23,2,79
airbnb599232358a46554f807aef068004,https://www.airbnb.es/rooms/14148943,-0.38394913753645965,39.47456212443533,2017-08-15 17:08:24.392000,2018-09-22 07:02:44.508000,airbnb46184614,private_room,0,2,114,1,
airbnb599232358a46554f807aef068005,https://www.airbnb.es/rooms/371461,-0.383743113570516,39.47452774249917,2017-08-15 17:08:53.283000,2017-10-11 01:23:11.689000,airbnb1868105,private_room,1,2,17,365,40
airbnb599232358a46554f807aef068006,https://www.airbnb.es/rooms/14393681,-0.38371160313638747,39.474587806591295,2018-04-24 14:12:23.874000,2018-09-22 06:34:41.987000,airbnb38724082,entire_home,0,2,2,15,
