;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
71;2021;23,36;7,04;13147;0,95;0,63;58,24;2,34;24,65;20,03;100,42;17,56;14;184058;53744;361,37;37369,21
71;2022;23,73;7,01;13221;1,17;1,01;59,62;2,33;24,52;20,26;100,55;;14,01;185234;52198;361,96;37480,77
72;2018;10,48;20,39;2482;0,89;0;30,94;4,79;25,75;13,42;97,36;7,93;8,38;20793;17838;301,18;30108,95
72;2019;12,37;19,46;2482;0,89;0;36,99;4,79;25,75;13,42;97,36;8,4;8,38;20793;17838;310,22;31012,22
72;2020;15,51;18,65;2482;0,85;0;42,91;4,79;25,75;13,42;97,36;7,92;8,3;20595;19164;319,52;31942,58
72;2021;15,51;18,65;2482;0;0;55,72;4,79;25,75;13,42;97,36;8,72;8,3;20595;17860;319,52;31942,58
72;2022;15,5;18,68;2484;0;0;60,27;4,83;25,76;13,41;97,35;;8,29;20595;17860;319,48;31936
73;2018;2,32;20,2;4400;0;0;58,43;16,55;46,8;12,07;84,89;10,11;7,48;32909;57880;283,12;24697,35
73;2019;3,39;18,41;4400;0;0;58,43;16,55;46,8;12,07;84,89;10,09;7,48;32909;57880;291,61;25438,26
73;2020;3,95;17,7;4400;0;0;58,66;16,52;46,77;12,07;84,9;9,99;7,48;32909;57880;300,36;26203,32
73;2021;3,95;17,7;4400;0;0;62,02;16,52;46,77;12,07;84,9;9,96;7,48;32909;57880;300,36;26203,32
73;2022;3,95;17,7;4400;0;0;81,64;16,52;46,77;12,07;84,9;;7,48;32909;57880;300,36;26203,32
74;2018;6,13;56,81;1549;0;0;56,94;0,65;58,94;12,33;83,29;15,49;13,07;20242;2531;255,88;22615,82
74;2019;7,68;56,81;1549;0;0;56,94;0,65;58,94;12,33;83,29;15,21;13,07;20242;2531;263,55;23294,29
74;2020;7,75;56,81;1549;0;0;59,26;0,65;58,94;12,33;83,29;15,2;13,07;20242;2531;271,46;23993,11
74;2021;7,75;56,81;1549;0;0;66,24;0,65;58,94;12,33;83,29;14,81;13,07;20242;2531;271,46;23993,11
74;2022;7,75;56,81;1549;0;0;71,08;0,65;58,94;12,33;83,29;;13,16;20392;2531;271,46;23993,12
75;2018;27,54;0,04;2277;0;0;14,45;0,61;11,95;22,4;106,62;14,47;14,37;32722;9099;371,01;39978,15
75;2019;32,37;0,04;2277;0;0;14,45;0,61;11,95;22,4;106,62;14,69;14,47;32959;9099;382,14;41177,49
75;2020;36,76;0,04;2277;0;0;14,45;0,61;11,95;22,4;106,62;14,44;14,47;32959;7494;393,6;42412,81
75;2021;36,76;0,04;2277;0;0;23,01;0,61;11,95;22,4;106,62;14,33;14,47;32959;7494;393,6;42412,81
75;2022;36,76;0,04;2277;0;0;23,01;0,61;11,95;22,4;106,62;;14,47;32959;7494;393,6;42412,81
81;2018;37,37;6,83;12051;0,44;0,01;40,57;2,71;19,1;29,53;107,24;16,35;14,38;173270;25614;386,89;42811,47
81;2019;38,75;5,98;12051;0,41;0,01;41,62;2,71;19,1;29,55;107,26;16,28;14,38;173322;26075;398,5;44098,14
81;2020;41,14;5,06;12054;0,09;0;41,85;2,7;19,1;29,53;107,22;16,16;14,38;173317;26210;410,47;45410,16
81;2021;41,24;5,05;12076;0,19;0,18;44,22;2,7;19,07;29,6;107,25;16,28;14,53;175468;26212;410,78;45459,84
81;2022;41,44;5,02;12149;0,77;0,77;46,09;2,68;19,04;29,87;107,53;;14,6;177378;22117;411,07;45606,58
82;2018;37,32;0,21;4269;3,75;0;0,66;0,49;5,58;28,95;112,53;14,16;15,24;65059;141027;379,34;42794,18
82;2019;42,07;0,21;4269;1,76;0;0,66;0,49;5,58;28,95;112,43;13,84;15,04;64214;132371;391,02;44077,57
82;2020;45,8;0,21;4269;1,76;0;0,66;0,49;5,58;28,95;112,43;13,78;15,08;64359;132371;402,74;45397,12
82;2021;47,29;0,2;4405;4,79;3,09;0,64;0,48;5,4;29,15;112,71;13,91;14,98;65975;128068;405,16;45800,07
82;2022;48,09;0,2;4485;4,82;4,82;0,62;0,47;5,31;29,34;112,84;;14,91;66868;113880;406,78;46048,02
83;2018;22,81;0,18;4519;0;0;2,83;0,02;6,13;22,06;108,81;12,72;17,06;77109;67130;373,53;40769,43
83;2019;30,69;0,15;4519;0;0;2,83;0,02;6,13;22,06;108,81;11,84;15,8;71386;89685;384,74;41992,48
83;2020;37,27;0,11;4516;0;0;2,77;0,02;6,13;21,99;108,71;11,65;15,88;71731;97562;396,41;43262,16
83;2021;37,27;0,11;4516;0;0;2,77;0,02;6,13;21,99;108,71;11,71;15,88;71731;97562;396,41;43262,16
83;2022;37,28;0,11;4515;0;0;2,75;0,02;6,14;21,97;108,64;;15,86;71586;96276;396,51;43267,44
84;2018;40,17;0,52;4000;8,08;0,92;3,28;2,55;5,78;30,48;113,27;14,19;14,93;59724;304992;403,95;46025,83
84;2019;45,22;0,7;4018;8,46;1,34;3,83;2,54;5,9;30,44;113,21;14,3;14,9;59861;303192;415,23;47314,15
84;2020;51,04;0,49;4071;9,63;1,69;4,79;2,53;5,85;31,32;114,04;14,55;15;61060;302215;428,61;49191,54
84;2021;52,18;0,48;4180;11,99;4,26;6;2,46;5,69;32,06;114,66;14,93;15,08;63052;289187;429,68;49566,95
84;2022;53,02;0,47;4257;11,65;5,99;7,87;2,42;5,59;33;115,04;;15;63875;278244;430,63;49850,54
85;2018;23,91;10,61;1715;5,83;0;20,52;4,66;20,87;23,67;102,66;14,93;13,12;22508;73576;364,99;38476,55
85;2019;25,48;10,2;1715;5,19;0;22,27;4,66;20,87;23,67;102,66;14,71;13,12;22508;71899;375,94;39630,85
85;2020;28,98;9,33;1715;4,14;0;22,62;4,66;20,87;23,67;102,67;14,47;13,12;22508;72008;387,32;40832,17
85;2021;28,93;9,31;1718;0;0;28,35;4,66;20,84;23,63;102,68;14,18;13,1;22508;72008;387,19;40818,17
85;2022;28,92;9,29;1722;0;0;29,38;4,76;20,91;23,69;102,77;;12,99;22370;72008;387,13;40849,83
91;2018;30,96;7,96;7767;2,25;0,01;38,51;2,45;22,24;26,15;104,58;17,39;13,44;104364;15539;365,98;39653,6
91;2019;32,11;6,87;7768;0,9;0,01;40,54;2,46;22,32;26,16;104,57;17,45;13,53;105066;15539;376,94;40836,69
91;2020;33,03;5,92;7756;0,43;0,01;44,09;2,44;22,24;26,21;104,62;16,95;13,59;105366;15342;388,46;42098,02
91;2021;33,03;5,93;7757;0,17;0;48,98;2,45;22,28;26,21;104,61;16,89;13,58;105366;15560;388,45;42093,31
91;2022;33,41;5,87;7800;0,36;0,35;50,99;2,42;22,1;26,31;104,83;;13,9;108439;15187;388,68;42190,28
92;2018;14,89;9,52;7616;1,26;0;23,77;1,52;16,11;18,59;102,69;11,02;10,57;80492;26517;333,7;35252,43
92;2019;16,5;8,74;7618;0,87;0;25,1;1,52;16,12;18,59;102,67;10,81;10,48;79863;26517;343,71;36302,29
